Ticker,3M_Return,6M_Return,9M_Return,12M_Return,Weighted_Return,ADTV_Crore,Liquidity_Pass,RS_Rank,Strong_Stock
ESAFSFB.NS,52.09414868472828,59.95631498013046,62.68048224495708,46.85828380569854,54.736675680048535,13.654643689781267,True,94,True
NETWEB.NS,36.648145134066354,43.93836089952714,21.34849670669454,136.60752553841218,55.03813468255332,859.68768402777,True,94,True
BHARATFORG.NS,27.846579832871843,45.31419448413878,76.0049383172879,63.34378037235131,48.071214567904335,267.8178711962215,True,93,True
POWERINDIA.NS,24.011186576108678,67.94719186235257,72.43486472973724,60.91238983929497,49.86336391672043,587.4178008774,True,93,True
J&KBANK.NS,41.377834065465755,63.49959961535892,57.28839271471629,41.53529405458913,49.01579090311917,63.617778315662015,True,93,True
SBCL.NS,44.13467207940058,74.01584184373094,48.41561115216027,32.526161365169216,48.64539170397232,35.96441403351296,True,93,True
NEOGEN.NS,61.57446459710283,67.37245313164328,31.176277829265242,20.157504313744766,48.3710328937718,19.89669650902578,True,93,True
SHRIPISTON.NS,41.02607639164015,33.47430471975959,55.7340527569466,71.38249565910743,48.52860118381879,23.778453674256138,True,93,True
ADANIENT.NS,70.66575311209253,42.12832290514381,28.181500571989957,22.51506742827216,46.831279425918204,710.8437823451425,True,92,True
NILKAMAL.NS,58.01786212948827,46.48691503622533,39.919613407125,29.90069365185739,46.46858927083685,23.381124853219998,True,92,True
THYROCARE.NS,46.69306286097359,24.378768838814047,43.615364293660704,71.05032107108944,46.48611598510227,30.047558948239683,True,92,True
GREAVESCOT.NS,67.52462400929396,46.168355027370886,27.011667452496035,31.72755249588448,47.99136459886787,47.20161747081391,True,92,True
BHEL.NS,51.267799062702736,31.61776978448905,60.87230489115068,44.94616094854609,47.994366749918264,638.7000590029597,True,92,True
JGCHEM.NS,53.27827381691168,63.79559741425717,50.69671265812066,18.764324786312827,47.9626364985028,25.945885129274,True,92,True
ANANDRATHI.NS,25.232332504602752,33.23209255398285,45.86811345405,95.55153710402409,45.02328162425249,123.79906835771999,True,91,True
GRANULES.NS,30.52598680750105,39.31495201219193,62.02876551705651,68.34242042046851,46.14762231294381,103.36968727680001,True,91,True
HSCL.NS,49.23262778022928,40.22456385922757,54.50006656995436,35.34500550305548,45.7069782985392,788.6735646708487,True,91,True
BSE.NS,29.34119677719156,45.228314218274356,87.06990437207023,37.53017777195184,45.70215798333591,1465.649198068728,True,91,True
NAM-INDIA.NS,46.59445862477436,39.21489836762255,40.289052274098225,50.83265205813126,44.70510398988016,115.72488537025,True,91,True
KRISHANA.NS,32.562201709330665,45.35273698591962,68.46018097594295,53.12091248083419,46.411646772271624,22.541820240273175,True,91,True
PRICOLLTD.NS,42.803405679718985,32.139901928955794,24.874683853390955,77.82735532332636,44.089750493022215,43.024088955792394,True,90,True
KRN.NS,35.120412137513604,63.31250772324295,44.541618321599685,41.51910697548482,43.92281145907093,42.01597965668828,True,90,True
SUPRIYA.NS,60.29146960000536,32.132018178154276,34.270631754272074,35.11387500539165,44.41989282756575,48.64461438079445,True,90,True
ANGELONE.NS,43.13286926609629,49.08159887415089,65.18171160609614,18.830755558959787,43.87196091427988,223.04851495857392,True,90,True
THERMAX.NS,43.3661064782195,52.43498481895421,47.13396136037042,34.74980066692594,44.21019196053792,156.57419245391537,True,90,True
